RCKiK;adres;kod pocztowy;miejscowość;telefon;strona www
RCKiK w Białymstoku;ul. Marii Skłodowskiej-Curie 23;15-950;Białystok;(85) 744 70 02;https://www.rckik.bialystok.pl
RCKiK w Bydgoszczy;ul. Ks. Markwarta 8;85-015;Bydgoszcz;(52) 322 18 71 do 74;https://www.rckik-bydgoszcz.com.pl
RCKiK w Gdańsku;ul. J. Hoene-Wrońskiego 4;80-210;Gdańsk;(58) 520 40 20;https://www.krew.gda.pl
RCKiK w Kaliszu;ul. Kaszubska 9;62-800;Kalisz;(62) 767 66 63;https://www.krwiodawstwo.kalisz.pl
RCKiK w Katowicach;ul. Raciborska 15;40-074;Katowice;(32) 208 73 00;https://www.rckik-katowice.pl
RCKiK w Kielcach;ul. Jagiellońska 66;25-734;Kielce;(41) 335 94 00;https://www.rckik-kielce.com.pl
RCKiK w Krakowie;ul. Rzeźnicza 11;31-540;Kraków;(12) 261 88 20;https://www.rckik.krakow.pl
RCKiK w Lublinie;ul. Żołnierzy Niepodległej 8;20-078;Lublin;(81) 532 62 75;https://www.rckik.lublin.pl
RCKiK w Łodzi;ul. Franciszkańska 17/25;91-433;Łódź;(42) 616 14 00;https://www.krwiodawstwo.pl
RCKiK w Olsztynie;ul. Malborska 2;10-255;Olsztyn;(89) 526 01 56;https://www.rckikol.pl
RCKiK w Opolu;ul. Kośnego 55;45-372;Opole;(77) 441 06 00;https://www.rckik-opole.com.pl
RCKiK w Poznaniu;ul. Marcelińska 44;60-354;Poznań;(61) 886 33 00;https://www.rckik.poznan.pl
RCKiK w Raciborzu;ul. Sienkiewicza 3 A;47-400;Racibórz;(32) 418 15 92;https://www.rckik.pl
RCKiK w Radomiu;ul. Limanowskiego 42;26-600;Radom;(48) 340 05 20;https://www.rckik.radom.pl
RCKiK w Rzeszowie;ul. Wierzbowa 14;35-310;Rzeszów;(17) 867 20 30;https://www.rckk.rzeszow.pl
RCKiK w Słupsku;ul. Szarych Szeregow 21;76-200;Słupsk;(59) 842 20 21;https://www.krwiodawstwo.slupsk.pl
RCKiK w Szczecinie;al. Wojska Polskiego 80/82;70-482;Szczecin;(91) 424 36 00;https://www.krwiodawstwo.szczecin.pl
RCKiK w Wałbrzychu;ul. Chrobrego 31;58-303;Wałbrzych;(74) 664 63 10;https://www.rckik.walbrzych.pl
RCKiK w Warszawie;ul. Saska 63/75;03-948;Warszawa;(22) 514 60 00;https://www.rckik-warszawa.com.pl
RCKiK we Wrocławiu;ul. Czerwonego Krzyża 5-9;50-345;Wrocław;(71) 371 58 10;https://www.rckik.wroclaw.pl
RCKiK w Zielonej Górze;ul. Wazów 42;65-046;Zielona Góra;(68) 329 83 60;https://www.rckik.zgora.pl
WCKiK MON;ul. Szaserów 128;04-349;Warszawa;261 816 716;https://www.wckik.pl/wp/
CKiK MSWiA;ul. Wołoska 137;02-507;Warszawa;(22) 508 13 12;https://www.ckikmswia.pl/
